sector,region,size,multiestablishment_firm,legal_status,percentage_ownership,owner_manager,number_companies_owned,private_foreing_companies,government_company,other_company,female_owner,family_ownership,ceo_politician,support_group,fte_started,manager_experience,top_manager_female,age_top_manager,education_top_manager,citizenship_top_manager,multinational_exp_top_manager,quality_certification,electrical_connection,power_outages,own_generator,application_water_connection,website,percentage_sales_main_product,sales,direct_sales,direct_sales_phone,direct_sales_online,direct_sales_other,national_sales,indirect_exports,direct_exports,losses_theft_products,domestic_supplies,foreign_supplies,formal_planning,taxes_prevent_growth,labor_reg_prevent_growth,market_demand_prevent_growth,kpis,production_targets,performance_bonus,main_market,competitors,foreign_technology,informal_competitors,product_innovation,product_inn_market,process_innovation,r&d,r&d_intensity,closing_covid,own_building,own_land,construction_permit,security,losses_fraudulent_transactions,internal_funds_workingcapital,bank_loans_workingcapital,other_loans_workingcapital,suppliers_customers_workingcapital,other_source_workingcapital,fixed_assets,savings_account,overdraft_facility,credit_line,outstanding_personal_loans,application_loans,certified_fin_statements,manager_timespent_regulations,tax_inspection,online_tax_payment,government_contract,percentage_informal_payments,import_lic,operating_licence,public_support,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,j30_safety_pos,j30_health_pos,j30_environment_pos,permanent_fte,permanent_fte_lastyear,EUl2_language_pos,EUl2_interpersonal_pos,EUl2_probsolve_pos,EUl2_manage_pos,EUl2_comp_pos,EUl2_math_pos,EUl2_tech_pos,temporal_workers,training,vacancies,EUl8_language_pos,EUl8_interpersonal_pos,EUl8_probsolve_pos,EUl8_manage_pos,EUl8_comp_pos,EUl8_math_pos,EUl8_tech_pos,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,labor,cost_elctricity,weeks_remain_open,machinery_value,age,exp,innovation
Other services,South Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,1,2,0,0,0,0,0,0,1,15,30,0,55,3,1,1,0,0,0,0,0,1,99,3152000.0,100,0,0,0,97,3,0,0,50,50,0,0,0,1,0,1,1,National,5.0,1,0,1,1,1,1,10000.0,1,0,0,0,1,0,100,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0.0,0,0,1,4,5,9,3,2,7,6,1,8,25,19,4,5,1,3,2,7,6,6,0,1,4,5,1,3,2,7,6,4,5,13,11,10,12,14,2,8,15,3,7,9,1,6,1500000,13500,8.0,0.0,7.0,1,1
Retail services,South Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,1,0,0,1,3,22,1,47,3,1,0,1,0,0,0,0,1,100,3700000.0,30,60,10,0,95,5,0,0,98,2,0,0,0,0,1,1,0,Local,7.0,0,0,1,1,1,1,10000.0,0,100,100,0,1,1,40,40,0,20,0,0,1,1,1,1,1,1,2,0,1,0,0.0,0,0,1,3,1,9,8,2,5,6,4,7,24,18,3,1,4,7,2,5,6,2,1,1,3,1,4,7,2,5,6,3,14,1,8,10,5,11,12,15,13,6,4,9,2,7,800000,12000,4.0,0.0,13.0,1,1
Retail services,North Netherlands,Large,1,Shareholding company with non-traded shares or shares traded privately,100,1,350,0,0,0,1,100,0,1,15,35,0,51,3,1,1,1,1,0,0,0,1,100,17500000.0,95,0,5,0,100,0,0,0,70,30,0,0,0,0,1,1,1,Local,5.0,0,0,1,1,1,0,0.0,0,0,0,1,1,1,100,0,0,0,0,0,1,0,0,0,0,1,20,0,1,0,0.0,0,0,0,7,1,5,9,3,2,6,8,4,15,15,5,4,1,7,3,2,6,0,1,1,5,4,1,7,3,2,6,7,14,13,1,11,12,6,15,4,9,3,2,5,10,8,1300000,68000,0.0,0.0,32.0,0,1
Other services,West Netherlands,Small,1,Shareholding company with non-traded shares or shares traded privately,100,0,25,0,0,0,0,0,0,1,1,30,0,50,1,1,1,0,0,0,0,0,1,100,18200000.0,0,100,0,0,40,0,60,0,0,100,1,0,0,0,0,0,1,International,5500.0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,100,0,0,0,0,1,1,0,0,0,0,1,10,0,1,0,0.0,0,0,1,1,4,7,5,9,8,6,3,2,20,18,1,4,7,5,2,3,6,0,0,1,1,4,7,5,2,3,6,10,11,1,5,13,8,15,12,2,7,14,3,9,4,6,1500000,6500,0.0,0.0,21.0,1,0
Other services,East Netherlands,Medium,0,Shareholding company with shares traded on the stock market,100,1,1,0,0,0,0,0,0,1,5,18,0,42,2,1,1,0,0,0,0,0,1,100,1400000.0,100,0,0,0,100,0,0,0,100,0,0,0,1,0,1,0,0,Local,280.0,0,0,1,0,1,0,0.0,1,0,0,1,0,1,90,0,0,10,0,1,1,1,0,0,0,1,10,0,1,0,0.0,0,0,1,3,6,2,8,5,1,4,9,7,21,25,3,6,2,4,5,7,1,0,1,1,3,6,2,4,5,7,1,3,13,10,8,14,12,4,11,7,6,9,15,1,5,2,650000,24000,4.0,0.0,13.0,0,1
Manufacturing,West Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,100,1,2,0,0,0,0,100,0,1,1,10,0,50,3,1,1,0,0,0,1,0,1,100,4500000.0,85,0,0,15,40,40,20,0,90,10,1,0,0,0,1,1,1,National,4.0,1,0,1,0,1,1,0.0,0,0,0,0,1,1,20,0,0,80,0,1,1,1,1,0,0,1,5,1,1,0,0.0,0,0,1,5,4,1,9,6,7,3,2,8,23,23,5,4,1,2,6,7,3,7,0,1,5,4,1,2,6,7,3,5,4,1,12,11,10,3,14,8,13,15,9,7,2,6,1200000,15000,12.0,500000.0,16.0,1,1
Other services,North Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,99,1,1,0,0,0,0,100,0,1,8,9,0,43,3,1,0,0,0,0,0,0,1,100,7500000.0,0,15,85,0,90,1,9,0,20,80,0,0,1,0,1,1,1,National,4.0,1,0,1,1,1,1,2500.0,0,0,0,0,1,0,100,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.0,0,0,1,4,3,8,6,1,7,9,5,2,25,27,4,3,5,6,1,7,2,0,0,1,4,3,5,6,1,7,2,4,3,8,12,13,14,1,5,2,11,15,6,10,7,9,1200000,16500,13.0,0.0,68.0,1,1
Other services,South Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,100,0,0,0,0,0,1,2,16,0,48,3,0,0,1,0,0,0,0,1,100,15000000.0,0,100,0,0,4,96,0,0,0,100,0,0,0,1,1,1,0,International,5.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,100,1,1,0,0,0,0,1,5,0,1,0,0.0,0,0,0,9,7,8,2,4,1,5,6,3,22,23,1,7,3,2,4,6,5,0,0,1,1,7,3,2,4,6,5,12,7,8,2,15,14,5,13,3,11,6,9,10,1,4,552000,0,3.0,0.0,22.0,1,0
Other services,West Netherlands,Large,0,Shareholding company with non-traded shares or shares traded privately,100,0,1,0,0,0,0,0,0,1,0,3,0,25,2,1,0,0,0,0,0,0,1,96,12201908.0,0,0,0,100,100,0,0,0,100,0,0,0,0,0,1,1,0,National,4.0,0,0,1,1,1,1,400000.0,0,100,100,0,1,0,0,100,0,0,0,1,1,1,1,0,0,1,2,0,1,1,0.0,0,0,0,9,1,6,3,8,2,7,4,5,24,31,6,5,1,3,4,2,7,79,0,1,6,5,1,3,4,2,7,14,1,15,10,12,11,7,4,5,13,2,8,3,9,6,5400000,0,4.0,0.0,85.0,0,1
Other services,South Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,60,1,1,100,0,0,0,0,0,1,23,20,0,52,3,0,0,0,0,0,0,0,1,100,36000000.0,0,30,70,0,1,99,0,0,40,60,0,0,0,0,1,1,1,International,5500.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,100,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0.0,0,0,0,5,3,7,6,9,1,4,2,8,17,15,5,4,7,6,3,1,2,3,0,1,5,4,7,6,3,1,2,12,15,14,5,9,11,13,2,8,4,1,10,6,7,3,2900000,5000,25.0,0.0,7.0,1,0
Manufacturing,West Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,65,1,1,35,0,0,1,0,0,0,2,8,1,52,3,0,1,1,0,1,0,0,1,100,5000000.0,0,100,0,0,20,60,20,0,10,90,1,1,0,1,1,1,0,International,5500.0,0,0,1,1,1,1,30000.0,0,0,0,0,1,0,0,80,20,0,0,0,1,1,1,1,1,1,2,0,1,0,0.0,1,0,1,2,7,9,6,4,3,8,1,5,18,18,2,5,3,6,4,7,1,0,1,1,2,5,3,6,4,7,1,2,1,9,6,11,3,12,15,10,14,4,13,8,7,5,400000,0,12.0,1000000.0,11.0,1,1
Manufacturing,South Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,100,0,1,0,0,0,1,100,0,1,8,30,0,49,1,1,1,0,0,1,0,0,1,80,7100000.0,100,0,0,0,70,0,30,0,80,20,0,1,0,1,0,0,0,International,3.0,0,0,1,0,1,0,0.0,0,100,100,0,1,0,10,60,0,30,0,0,1,1,1,0,1,1,5,0,1,0,0.0,0,0,1,4,9,5,6,2,7,3,8,1,27,26,4,1,5,6,2,7,3,10,0,1,4,1,5,6,2,7,3,4,11,5,12,14,13,3,8,7,2,15,6,10,1,9,2695000,46000,8.0,500000.0,18.0,1,1
Manufacturing,North Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,8,8,0,48,2,1,1,1,0,0,0,0,1,80,3600000.0,0,100,0,0,100,0,0,0,60,40,1,0,1,0,0,1,0,National,30.0,1,0,1,0,1,0,0.0,0,100,100,0,1,0,100,0,0,0,0,0,1,0,0,1,0,1,5,0,1,0,0.0,0,0,1,6,5,1,3,4,2,8,7,9,27,30,1,5,7,3,4,2,6,0,0,1,1,5,7,3,4,2,6,10,6,1,11,4,5,12,7,9,15,13,14,3,8,2,980000,27000,1.0,3000000.0,8.0,0,1
Retail services,East Netherlands,Small,1,Shareholding company with non-traded shares or shares traded privately,100,0,1,0,0,0,1,100,0,1,1,50,0,61,1,1,0,0,1,1,0,0,1,60,2500000.0,75,0,25,0,93,2,5,0,0,100,1,0,1,1,0,1,0,National,5500.0,0,0,1,1,1,1,15000.0,0,100,100,1,1,1,85,15,0,0,0,1,1,1,1,0,0,1,7,0,1,0,0.0,0,0,1,1,7,2,9,4,6,5,3,8,5,5,3,7,1,2,4,6,5,3,1,0,3,7,1,2,4,6,5,1,7,13,9,11,12,15,3,8,14,4,6,2,5,10,200000,12000,4.0,0.0,101.0,1,1
Retail services,East Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,0,150,0,0,0,1,0,0,1,5,5,0,31,3,1,0,1,0,1,0,0,1,95,6000000.0,25,25,50,0,100,0,0,0,95,5,0,0,1,0,1,1,0,National,5500.0,0,1,0,0,0,0,0.0,0,0,0,0,1,1,100,0,0,0,0,1,1,1,0,0,0,1,20,0,1,0,0.0,0,0,0,2,5,8,7,3,4,1,6,9,5,6,2,3,6,7,5,4,1,0,1,0,2,3,6,7,5,4,1,10,5,2,7,8,4,11,6,13,12,1,3,14,15,9,1100000,0,12.0,0.0,36.0,0,0
Manufacturing,North Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,75,0,1,75,0,0,1,15,0,1,7,19,0,43,1,1,0,1,0,0,0,0,1,100,3300000.0,0,0,0,100,25,0,75,0,85,15,1,0,0,1,0,0,0,International,4.0,0,0,1,1,1,1,0.0,0,100,100,0,0,0,100,0,0,0,0,1,1,1,0,0,0,1,5,0,1,0,0.0,0,0,1,9,6,8,4,7,2,1,5,3,27,26,1,6,5,4,7,2,3,1,1,0,1,6,5,4,7,2,3,10,11,15,12,7,2,1,13,3,9,6,14,5,4,8,1600000,21000,12.0,700000.0,18.0,1,1
Other services,South Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,1,100,0,1,0,37,1,56,1,1,0,1,0,0,0,0,1,100,7365000.0,0,100,0,0,75,0,25,0,90,10,0,0,0,0,0,0,0,National,5500.0,0,0,0,0,0,0,0.0,0,100,100,0,1,0,80,0,0,20,0,0,1,1,1,0,1,1,5,0,1,0,0.0,0,0,0,1,9,3,5,4,8,2,6,7,50,42,6,7,3,5,4,1,2,0,0,1,6,7,3,5,4,1,2,5,11,14,1,4,8,13,12,7,10,9,15,2,3,6,2671000,6300,10.0,0.0,37.0,1,0
Other services,West Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,0,5,0,0,0,0,0,0,1,0,18,0,52,2,1,0,0,0,0,0,0,1,100,7800000.0,100,0,0,0,100,0,0,0,0,100,0,0,0,1,0,0,1,National,1.0,0,0,1,1,1,0,0.0,0,0,0,0,1,0,100,0,0,0,0,1,1,0,0,0,0,1,5,0,1,0,0.0,0,0,0,3,1,9,8,6,2,5,4,7,23,25,3,1,4,7,6,2,5,1,1,1,3,1,4,7,6,2,5,3,1,9,8,13,12,5,10,14,11,4,2,6,15,7,2900000,144000,26.0,0.0,48.0,0,1
Manufacturing,West Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,10,0,1,100,0,0,1,0,0,1,0,18,0,51,1,1,0,1,0,1,0,0,1,100,8500000.0,0,0,0,100,5,0,95,0,80,20,1,0,1,0,0,0,0,International,6.0,0,0,0,0,0,0,0.0,0,100,100,0,0,0,100,0,0,0,0,1,1,0,0,0,0,1,10,0,1,0,0.0,0,0,0,5,9,6,2,3,8,7,4,1,19,22,5,1,6,2,3,4,7,2,0,1,5,1,6,2,3,4,7,5,1,14,2,9,13,12,4,11,15,10,7,8,6,3,950000,80000,26.0,9100000.0,81.0,1,0
Manufacturing,West Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,100,1,3,0,0,0,0,100,0,1,25,30,0,54,1,1,1,1,0,0,0,0,1,100,16000000.0,0,100,0,0,88,2,10,0,2,98,0,0,0,0,1,1,0,National,10.0,0,0,1,0,1,0,0.0,0,0,0,0,1,0,0,80,0,0,20,0,1,1,0,1,0,1,2,0,1,0,0.0,0,0,1,9,4,2,8,6,3,1,5,7,28,25,7,4,2,5,6,3,1,0,0,1,7,4,2,5,6,3,1,9,12,14,11,6,10,15,5,7,4,8,13,1,2,3,2000000,75000,4.0,3200000.0,3.0,1,1
Manufacturing,East Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,1,10,0,0,0,0,100,0,1,35,35,0,55,2,1,0,1,0,0,0,0,1,100,3300000.0,90,0,0,10,100,0,0,0,80,20,1,0,0,1,1,1,0,National,5.0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,10,0,0,90,0,1,1,1,0,1,0,1,1,1,1,0,0.0,0,0,1,5,2,8,7,4,9,3,1,6,19,26,1,2,6,7,4,5,3,3,1,1,1,2,6,7,4,5,3,14,2,1,13,12,9,3,11,6,8,4,10,7,15,5,1000000,38000,3.0,500000.0,14.0,0,0
Other services,East Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,0,1,100,0,0,1,0,0,0,5,34,0,68,2,1,0,0,1,0,0,0,1,100,28875000.0,0,10,40,50,50,0,50,0,10,90,1,0,0,0,1,1,1,National,11.0,0,0,1,0,1,0,0.0,0,100,100,0,1,0,100,0,0,0,0,1,1,0,0,0,0,1,40,0,0,0,0.0,0,0,0,3,6,1,2,4,8,7,5,9,33,33,3,6,1,2,7,4,5,12,1,1,3,6,1,2,7,4,5,11,6,1,2,4,8,7,14,9,12,13,3,15,5,10,2194000,21000,26.0,0.0,70.0,1,1
Other services,East Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,40,0,0,11,25,0,51,3,1,0,0,0,0,0,0,1,100,11300000.0,0,0,0,100,60,30,10,0,100,0,1,0,0,1,1,1,1,National,10.0,0,0,1,0,1,0,0.0,0,0,0,0,1,0,100,0,0,0,0,0,1,0,0,0,0,1,5,0,1,0,0.0,0,0,1,5,7,2,1,9,6,4,8,3,65,50,7,3,2,5,1,6,4,25,1,1,7,3,2,5,1,6,4,14,1,2,15,9,11,10,8,13,12,6,7,3,5,4,3300000,54000,8.0,0.0,8.0,1,1
Other services,South Netherlands,Small,0,Partnership,50,1,1,0,0,0,1,100,0,1,1,24,0,49,1,1,0,0,0,0,0,0,1,60,650000.0,100,0,0,0,100,0,0,0,85,15,0,1,1,0,0,1,0,Local,5500.0,0,1,1,1,1,0,0.0,1,100,100,0,1,0,40,40,0,20,0,1,1,1,1,0,1,1,5,0,1,0,0.0,0,0,1,6,5,7,2,1,3,4,9,8,8,8,6,5,7,2,3,1,4,15,0,1,6,5,7,2,3,1,4,13,14,7,2,11,3,4,9,8,1,12,10,15,5,6,175000,27000,13.0,0.0,24.0,0,1
Other services,West Netherlands,Medium,0,Sole proprietorship,100,1,1,0,0,0,0,100,0,1,3,37,0,59,2,1,0,0,0,0,0,0,1,100,550000.0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,0,1,0,Local,5.0,0,1,0,0,0,0,0.0,0,100,0,0,0,1,0,100,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0.0,0,0,1,1,2,4,7,9,8,3,6,5,1,1,5,2,4,1,7,6,3,25,0,0,5,2,4,1,7,6,3,10,2,4,7,13,11,14,6,15,1,12,8,9,3,5,150000,14400,0.0,0.0,21.0,0,0
Manufacturing,South Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,0,1,0,0,0,0,33,0,1,10,5,0,55,3,1,1,1,1,0,0,0,1,100,3600000.0,80,10,10,0,65,0,35,0,40,60,1,0,0,0,1,1,0,National,3.0,0,0,1,1,1,1,55000.0,0,0,0,0,1,0,75,0,0,25,0,0,1,0,0,0,0,1,10,0,1,0,0.0,0,0,0,1,2,4,5,6,9,3,7,8,21,19,1,2,4,5,6,7,3,0,1,1,1,2,4,5,6,7,3,11,2,4,5,8,6,12,7,15,14,13,3,1,9,10,1355836,25700,0.0,14000000.0,59.0,1,1
Other services,East Netherlands,Medium,0,Sole proprietorship,100,1,3,0,0,0,0,100,0,1,4,19,0,59,1,0,0,0,0,0,0,0,1,100,11500000.0,0,100,0,0,70,0,30,0,10,90,0,0,0,0,1,1,0,National,20.0,0,0,1,0,1,0,0.0,0,90,90,0,1,0,10,5,0,85,0,0,1,1,0,0,0,1,10,0,1,0,0.0,0,0,1,8,1,4,2,9,3,7,5,6,32,27,6,5,4,2,3,7,1,0,0,1,6,5,4,2,3,7,1,8,15,13,12,11,3,7,5,6,1,9,14,4,2,10,1300000,6000,26.0,0.0,19.0,1,1
Other services,South Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,1,100,0,1,2,20,0,35,2,1,0,1,1,0,0,0,1,95,0.0,80,20,0,0,100,0,0,0,50,50,0,0,0,0,1,0,1,Local,2.0,0,0,1,1,1,0,0.0,0,100,100,0,1,0,0,75,0,0,25,1,1,1,1,0,0,1,10,0,1,1,0.0,0,0,0,4,3,7,6,9,5,1,2,8,35,30,4,3,7,6,2,5,1,5,1,1,4,3,7,6,2,5,1,4,15,1,13,11,10,12,2,8,14,3,5,6,9,7,0,0,8.0,0.0,40.0,0,1
Other services,East Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,0,1,100,0,0,1,100,0,1,15,30,0,64,2,1,1,0,1,0,1,1,1,100,9016000.0,0,100,0,0,98,0,2,0,1,99,0,0,0,1,1,1,1,National,10.0,0,0,1,0,1,1,20000.0,0,100,100,1,1,0,100,0,0,0,0,1,1,0,0,0,0,1,10,0,1,0,0.0,0,0,0,6,7,5,2,8,3,4,9,1,22,20,6,7,5,2,1,3,4,16,1,1,6,7,5,2,1,3,4,11,5,9,2,8,3,14,13,12,15,6,10,1,4,7,2300000,20000,50.0,0.0,10.0,1,1
Other services,East Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,50,1,1,0,0,0,0,0,0,0,2,12,0,39,3,1,0,0,0,0,0,0,1,100,2800000.0,30,30,40,0,98,0,2,0,100,0,1,0,0,0,1,1,0,National,25.0,1,0,1,1,1,1,50000.0,0,0,0,0,0,0,100,0,0,0,0,1,1,1,0,0,0,1,5,0,1,0,0.0,0,0,0,1,5,6,9,4,7,3,2,8,30,20,1,5,6,2,4,7,3,0,1,1,1,5,6,2,4,7,3,1,5,9,10,11,15,6,2,13,3,12,4,14,8,7,1500000,8000,12.0,0.0,12.0,1,1
Retail services,South Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,1,12,0,43,1,1,0,0,0,0,0,0,1,75,250000.0,0,75,10,15,100,0,0,0,95,5,0,0,0,0,0,0,1,Local,5500.0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,100,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0.0,0,0,1,1,4,3,8,7,5,6,9,2,5,5,1,4,3,2,7,5,6,1,0,1,1,4,3,2,7,5,6,1,4,3,11,12,13,6,9,14,2,8,7,15,10,5,65000,2500,10.0,0.0,12.0,0,0
Other services,South Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,50,0,1,0,0,0,0,50,0,1,10,20,1,45,2,1,1,1,1,0,0,0,1,98,6900000.0,70,20,2,8,70,20,10,1,5,95,0,1,1,0,1,1,0,National,2.0,0,1,0,0,0,1,50000.0,0,0,0,0,1,0,10,40,0,50,0,1,1,1,1,0,1,1,30,0,1,0,1.0,0,0,1,7,5,8,3,2,9,1,6,4,45,45,7,5,1,3,2,4,6,45,1,1,7,5,1,3,2,4,6,14,12,13,15,2,9,1,11,4,7,6,5,8,10,3,2500000,12000,8.0,0.0,28.0,1,0
Other services,West Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,60,1,1,0,0,0,0,60,0,1,2,20,0,40,2,1,0,0,0,0,0,0,1,80,2600000.0,100,0,0,0,80,0,20,0,90,10,1,0,0,0,0,1,0,National,25.0,1,1,1,0,1,1,70000.0,1,0,0,0,0,0,0,0,0,100,0,0,1,0,0,0,0,1,30,0,1,0,0.0,0,0,1,8,5,6,9,1,7,2,3,4,33,28,6,1,4,5,3,7,2,6,0,1,6,1,4,5,3,7,2,8,13,6,9,14,7,15,12,11,10,4,3,5,1,2,2000000,10000,26.0,0.0,9.0,1,1
Other services,North Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,28,0,1,0,0,0,1,28,0,1,15,2,0,41,1,1,0,0,0,0,0,0,0,100,6000000.0,0,0,0,100,100,0,0,0,50,50,0,0,0,1,0,0,0,Local,3.0,0,0,0,0,0,0,0.0,0,100,100,0,0,1,0,0,90,10,0,1,0,0,0,0,0,1,2,0,1,0,0.0,0,0,0,2,9,6,3,4,1,5,8,7,29,0,5,2,6,3,4,7,1,0,1,1,5,2,6,3,4,7,1,2,12,1,3,14,9,13,11,7,6,8,15,5,4,10,1000000,4800,10.0,0.0,2.0,0,0
Manufacturing,North Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,8,39,0,53,2,1,1,0,0,0,0,0,1,99,1600000.0,100,0,0,0,100,0,0,0,90,10,1,0,1,0,0,1,0,Local,0.0,0,1,0,0,0,0,0.0,0,100,100,1,1,0,75,25,0,0,0,0,1,0,1,0,0,1,20,0,1,0,0.0,0,0,1,9,7,5,8,3,1,4,2,6,16,15,4,6,5,7,3,2,1,30,0,0,4,6,5,7,3,2,1,11,7,5,8,3,1,4,2,12,15,14,13,6,10,9,600000,11000,16.0,300000.0,8.0,0,0
Manufacturing,South Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,0,30,15,0,37,2,1,0,0,1,1,0,0,1,100,5500000.0,0,0,0,100,30,0,70,0,85,15,0,0,0,0,1,0,0,International,1.0,0,1,1,1,1,1,60000.0,0,0,0,0,1,0,100,0,0,0,0,1,1,0,0,0,0,0,20,1,1,0,0.0,0,0,1,8,4,5,2,1,3,9,7,6,27,28,1,4,5,2,6,7,3,0,0,1,1,4,5,2,6,7,3,11,13,5,2,10,3,12,15,6,1,14,9,4,8,7,1400000,25000,20.0,0.0,28.0,1,1
Other services,South Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,70,1,1,0,0,0,0,100,0,1,3,25,0,48,2,1,0,1,0,0,0,0,1,40,2400000.0,80,10,10,0,100,0,0,0,95,5,0,0,1,1,1,1,0,National,5500.0,0,0,1,1,1,0,0.0,1,100,100,0,1,0,0,90,0,10,0,1,1,1,1,0,0,1,10,0,1,0,0.0,0,0,1,3,9,4,1,6,5,7,8,2,17,17,3,2,4,1,6,5,7,25,1,1,3,2,4,1,6,5,7,13,14,12,3,6,15,7,8,2,11,4,1,10,9,5,650000,20000,25.0,0.0,40.0,0,1
Manufacturing,South Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,1,100,0,1,4,20,0,50,1,1,0,1,0,0,0,0,1,70,7200000.0,10,90,0,0,35,65,0,0,0,100,1,0,0,1,0,1,1,International,5500.0,0,0,1,0,1,0,0.0,0,100,100,0,0,0,0,90,0,10,0,1,1,1,1,0,0,1,5,0,1,0,0.0,0,0,1,7,8,5,1,9,2,6,3,4,26,25,4,2,3,5,7,1,6,0,0,0,4,2,3,5,7,1,6,7,8,14,13,15,2,6,10,12,11,5,4,3,1,9,1700000,32000,13.0,760000.0,22.0,1,1
Manufacturing,West Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,100,0,1,100,0,0,0,0,0,1,4,30,0,54,3,0,0,1,1,1,0,0,1,80,15000000.0,100,0,0,0,60,0,40,0,50,50,1,0,0,0,1,1,0,International,0.0,0,0,1,1,1,1,5000000.0,0,75,75,0,1,0,100,0,0,0,0,1,1,1,0,0,0,1,10,1,1,0,0.0,0,0,0,4,9,7,2,5,1,6,3,8,86,86,3,6,4,2,5,7,1,0,1,1,3,6,4,2,5,7,1,11,5,7,2,14,1,13,3,8,4,12,15,6,10,9,3200000,150000,0.0,8000000.0,52.0,1,1
Other services,South Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,90,0,5,0,0,0,0,51,0,1,4,30,0,60,2,1,0,1,0,1,0,0,1,60,10800000.0,4,90,6,0,100,0,0,0,100,0,1,0,0,0,0,1,0,Local,5.0,0,0,1,1,1,0,0.0,0,0,0,0,1,0,90,0,0,10,0,1,1,0,0,0,0,1,10,0,1,1,0.0,0,0,0,6,5,9,2,3,8,1,4,7,70,65,6,3,7,2,4,5,1,0,1,1,6,3,7,2,4,5,1,6,11,1,2,13,14,9,12,7,10,5,15,3,8,4,3935000,14000,8.0,0.0,84.0,0,1
Other services,East Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,100,0,1,0,0,0,0,100,0,1,1,40,0,58,3,1,1,1,0,0,1,0,1,80,21600000.0,0,0,0,100,0,0,100,0,100,0,0,0,0,0,1,1,0,International,5500.0,0,1,1,1,1,1,500000.0,0,0,0,0,1,0,20,70,0,10,0,1,1,1,1,0,0,0,60,1,1,0,0.0,0,0,0,7,2,4,8,5,1,3,6,9,33,29,7,1,4,2,5,6,3,0,1,1,7,1,4,2,5,6,3,15,2,13,8,5,11,10,12,9,3,1,14,4,6,7,2500000,30000,13.0,0.0,48.0,1,1
